Boston, MA	Apr 17, 2023	2:59:38	Boston Marathon
Maui, HI	Jan 15, 2023	3:56:54	Maui Oceanfront Marathon
Omaha, NE	Sep 25, 2022	2:57:45	Heartland Marathon
Duluth, MN	Jun 18, 2022	2:55:50	Grandma's Marathon
Boston, MA	Oct 11, 2021	2:46:56	Boston Marathon
Shenandoah, IA	Sep 12, 2020	3:04:03	Wabash Trace Nature Trail Marathon
Chicago, IL	Oct 13, 2019	2:55:02	Chicago Marathon
Des Moines, IA	Oct 21, 2018	2:59:46	Des Moines Marathon
Irving, TX	Apr 7, 2018	3:03:02	Irving Marathon
Allen, TX	Dec 31, 2017	3:17:06	New Year's Double
